name,application_id,unique_ci_identifier,environment,ci_regions,class,category,subcategory,manufacturer,ci_criticality,operational_status,owning_company_sector,support_group,support_group_2,support_group_3,ci_short_description,knowledge_number,knowledge_base,knowledge_domain,author,source,parent_article,language,version,confidence,workflow_state,published,valid_to,description,meta_description,knowledge_short_description,incident_resolution_sub_code,incident_resolution_code,incident_resolution_category,dv_kb_issue,dv_kb_cause,uuid
Name_60,5529,CI_60,Staging,Australia,Storage,Software,Backup,Manufacturer_4,Low,Operational,Healthcare,Support_Group_1,Support_Group_3,Support_Group_3,Description of CI 60,KN_790,rRcLf,Domain_4,Author_60,Source_5,Parent_4,English,2,0.65,Draft,TRUE,31-12-2023,Description for article 60,Meta description for 60,Short desc for knowledge 60,Sub_Code_10,Resolution_7,Software,Issue_8,Cause_6,872fbc2a-0487-4cc5-8082-b06c8533b132
Name_61,9151,CI_61,Development,Australia,Server,Software,Security,Manufacturer_1,High,Decommissioned,Manufacturing,Support_Group_1,Support_Group_5,Support_Group_3,Description of CI 61,KN_891,zvKbE,Domain_3,Author_61,Source_1,Parent_3,French,2,0.69,Review,TRUE,31-12-2024,Description for article 61,Meta description for 61,Short desc for knowledge 61,Sub_Code_6,Resolution_7,Service,Issue_3,Cause_1,9bc86095-b6f4-4c84-a4a9-71079bb818fd
Name_62,3028,CI_62,Development,Europe,Server,Hardware,Backup,Manufacturer_5,Low,Decommissioned,Technology,Support_Group_2,Support_Group_5,Support_Group_3,Description of CI 62,KN_519,fzyfr,Domain_2,Author_62,Source_5,Parent_1,English,1,0.96,Draft,TRUE,31-12-2024,Description for article 62,Meta description for 62,Short desc for knowledge 62,Sub_Code_4,Resolution_8,Hardware,Issue_4,Cause_1,6668ef36-2c58-44a4-aac2-ac624c364182
Name_63,9472,CI_63,Development,Asia,Application,Hardware,Storage,Manufacturer_6,Critical,Decommissioned,Finance,Support_Group_4,Support_Group_5,Support_Group_1,Description of CI 63,KN_645,gQUwS,Domain_3,Author_63,Source_3,Parent_1,Japanese,4,0.7,Archived,FALSE,31-12-2024,Description for article 63,Meta description for 63,Short desc for knowledge 63,Sub_Code_7,Resolution_4,Hardware,Issue_6,Cause_7,663f28e3-860d-402e-a594-dca98c9b6296
Name_64,5954,CI_64,Staging,North America,Database,Software,Compute,Manufacturer_4,High,Decommissioned,Technology,Support_Group_4,Support_Group_2,Support_Group_5,Description of CI 64,KN_921,RFAKv,Domain_1,Author_64,Source_1,Parent_5,Spanish,4,0.75,Review,TRUE,31-12-2025,Description for article 64,Meta description for 64,Short desc for knowledge 64,Sub_Code_4,Resolution_9,Hardware,Issue_8,Cause_8,454368c8-565d-45fe-9926-b2b6ae124b6a
Name_65,4997,CI_65,Staging,Asia,Database,Software,Backup,Manufacturer_9,Critical,Operational,Manufacturing,Support_Group_4,Support_Group_3,Support_Group_4,Description of CI 65,KN_262,orWcU,Domain_5,Author_65,Source_5,Parent_2,French,5,0.74,Archived,TRUE,31-12-2025,Description for article 65,Meta description for 65,Short desc for knowledge 65,Sub_Code_7,Resolution_7,Software,Issue_1,Cause_2,45c3d09d-23ce-4eed-a1c3-a750c467c78b
Name_66,8090,CI_66,Development,Australia,Application,Software,Compute,Manufacturer_1,Medium,Decommissioned,Manufacturing,Support_Group_2,Support_Group_3,Support_Group_1,Description of CI 66,KN_735,oHzAa,Domain_3,Author_66,Source_5,Parent_4,English,5,0.84,Review,TRUE,31-12-2025,Description for article 66,Meta description for 66,Short desc for knowledge 66,Sub_Code_9,Resolution_9,Software,Issue_1,Cause_6,e4f6c6d1-542b-48b6-b17a-85de3035bf3a
Name_67,4162,CI_67,Staging,Asia,Database,Software,Networking,Manufacturer_2,Medium,Decommissioned,Finance,Support_Group_2,Support_Group_5,Support_Group_3,Description of CI 67,KN_395,yQWef,Domain_2,Author_67,Source_1,Parent_2,Spanish,5,0.64,Draft,FALSE,31-12-2024,Description for article 67,Meta description for 67,Short desc for knowledge 67,Sub_Code_3,Resolution_6,Hardware,Issue_9,Cause_3,92c852f3-35ab-471b-8cf6-639e870ecad2
Name_68,3655,CI_68,Staging,Asia,Server,Software,Backup,Manufacturer_1,Critical,Operational,Finance,Support_Group_4,Support_Group_5,Support_Group_2,Description of CI 68,KN_684,qHwub,Domain_5,Author_68,Source_4,Parent_2,Spanish,4,0.73,Draft,FALSE,31-12-2024,Description for article 68,Meta description for 68,Short desc for knowledge 68,Sub_Code_7,Resolution_9,Service,Issue_1,Cause_2,3b4af010-e5cd-47f4-998f-573756bd61d2
Name_69,1074,CI_69,Production,Australia,Application,Service,Storage,Manufacturer_4,Critical,Under Maintenance,Retail,Support_Group_2,Support_Group_1,Support_Group_2,Description of CI 69,KN_807,Jablx,Domain_2,Author_69,Source_2,Parent_5,French,5,0.97,Archived,TRUE,31-12-2024,Description for article 69,Meta description for 69,Short desc for knowledge 69,Sub_Code_6,Resolution_4,Service,Issue_9,Cause_8,da461c4a-a2cd-4f26-8657-47c9bedbd932
Name_70,3627,CI_70,Production,Australia,Storage,Hardware,Networking,Manufacturer_4,Medium,Operational,Manufacturing,Support_Group_1,Support_Group_4,Support_Group_4,Description of CI 70,KN_620,aRWTv,Domain_3,Author_70,Source_5,Parent_5,English,2,0.93,Review,TRUE,31-12-2025,Description for article 70,Meta description for 70,Short desc for knowledge 70,Sub_Code_6,Resolution_4,Hardware,Issue_7,Cause_2,68fd11b9-aeb3-42ed-b24b-1ab1712a2b26
Name_71,8227,CI_71,Development,Asia,Server,Hardware,Compute,Manufacturer_8,Medium,Under Maintenance,Retail,Support_Group_4,Support_Group_3,Support_Group_3,Description of CI 71,KN_374,LCHkx,Domain_2,Author_71,Source_1,Parent_4,German,5,0.98,Published,TRUE,31-12-2024,Description for article 71,Meta description for 71,Short desc for knowledge 71,Sub_Code_10,Resolution_7,Service,Issue_8,Cause_8,47126a4c-3bd4-40cf-929c-06da1164c839
Name_72,2475,CI_72,Development,North America,Database,Service,Security,Manufacturer_7,Medium,Under Maintenance,Technology,Support_Group_5,Support_Group_5,Support_Group_1,Description of CI 72,KN_785,GEkEo,Domain_5,Author_72,Source_3,Parent_4,Japanese,2,0.52,Published,FALSE,31-12-2023,Description for article 72,Meta description for 72,Short desc for knowledge 72,Sub_Code_1,Resolution_5,Software,Issue_2,Cause_4,5f6f1158-e0d9-4709-98f7-b737f42bbaa7
Name_73,3618,CI_73,Staging,Europe,Network,Software,Compute,Manufacturer_2,Critical,Operational,Healthcare,Support_Group_4,Support_Group_3,Support_Group_3,Description of CI 73,KN_956,TPlkm,Domain_1,Author_73,Source_2,Parent_2,French,1,0.78,Review,TRUE,31-12-2025,Description for article 73,Meta description for 73,Short desc for knowledge 73,Sub_Code_2,Resolution_6,Software,Issue_10,Cause_2,46fdb997-b46c-4b9c-9199-677b360127a3
Name_74,8459,CI_74,Production,Asia,Database,Software,Compute,Manufacturer_8,Medium,Under Maintenance,Manufacturing,Support_Group_1,Support_Group_4,Support_Group_3,Description of CI 74,KN_238,zmDHg,Domain_1,Author_74,Source_4,Parent_4,English,2,0.76,Review,FALSE,31-12-2023,Description for article 74,Meta description for 74,Short desc for knowledge 74,Sub_Code_6,Resolution_10,Hardware,Issue_5,Cause_4,c9cb45ab-c64a-4e42-afeb-e7e0af1f28f8
Name_75,3923,CI_75,Development,Europe,Application,Hardware,Networking,Manufacturer_3,Critical,Operational,Healthcare,Support_Group_3,Support_Group_3,Support_Group_5,Description of CI 75,KN_521,PhMpx,Domain_4,Author_75,Source_2,Parent_2,Spanish,4,0.84,Review,FALSE,31-12-2023,Description for article 75,Meta description for 75,Short desc for knowledge 75,Sub_Code_3,Resolution_10,Hardware,Issue_6,Cause_8,dd964965-b8a7-4b7e-936e-704ef66bddb9
Name_76,7011,CI_76,Production,North America,Application,Software,Networking,Manufacturer_6,High,Decommissioned,Finance,Support_Group_5,Support_Group_2,Support_Group_2,Description of CI 76,KN_770,OXYVk,Domain_2,Author_76,Source_5,Parent_3,German,3,0.56,Review,TRUE,31-12-2023,Description for article 76,Meta description for 76,Short desc for knowledge 76,Sub_Code_10,Resolution_9,Software,Issue_10,Cause_1,a74de37c-2892-4b92-a1aa-c8d8393e2c75
Name_77,5127,CI_77,Development,North America,Network,Hardware,Networking,Manufacturer_4,Medium,Operational,Technology,Support_Group_4,Support_Group_3,Support_Group_5,Description of CI 77,KN_484,UAOos,Domain_4,Author_77,Source_3,Parent_2,German,3,0.81,Review,TRUE,31-12-2023,Description for article 77,Meta description for 77,Short desc for knowledge 77,Sub_Code_5,Resolution_10,Software,Issue_4,Cause_9,b11a683c-24d3-4057-a062-ee07dd7cdd22
Name_78,1033,CI_78,Production,North America,Application,Software,Backup,Manufacturer_10,High,Decommissioned,Retail,Support_Group_2,Support_Group_1,Support_Group_4,Description of CI 78,KN_966,hiutQ,Domain_4,Author_78,Source_1,Parent_4,Japanese,1,0.93,Draft,FALSE,31-12-2025,Description for article 78,Meta description for 78,Short desc for knowledge 78,Sub_Code_6,Resolution_9,Software,Issue_8,Cause_6,86e4d589-ece5-4d26-b5ba-ed2fe0b34d5a
Name_79,1874,CI_79,Development,Australia,Database,Software,Compute,Manufacturer_6,High,Under Maintenance,Healthcare,Support_Group_1,Support_Group_4,Support_Group_2,Description of CI 79,KN_241,NrYuS,Domain_4,Author_79,Source_1,Parent_5,English,1,0.55,Review,TRUE,31-12-2024,Description for article 79,Meta description for 79,Short desc for knowledge 79,Sub_Code_8,Resolution_2,Software,Issue_9,Cause_8,78b71fd6-703f-4b33-ac5a-9075d6ef4001
Name_80,9524,CI_80,Staging,Asia,Application,Service,Security,Manufacturer_10,Low,Operational,Retail,Support_Group_1,Support_Group_3,Support_Group_2,Description of CI 80,KN_923,kNSmc,Domain_2,Author_80,Source_4,Parent_5,French,4,0.91,Draft,FALSE,31-12-2023,Description for article 80,Meta description for 80,Short desc for knowledge 80,Sub_Code_2,Resolution_8,Software,Issue_6,Cause_2,4cb50566-3d49-4e18-b7e0-0a7777f7043b
Name_81,4206,CI_81,Development,North America,Application,Hardware,Compute,Manufacturer_5,Critical,Operational,Finance,Support_Group_4,Support_Group_4,Support_Group_2,Description of CI 81,KN_746,arykL,Domain_3,Author_81,Source_4,Parent_5,French,5,0.57,Archived,TRUE,31-12-2023,Description for article 81,Meta description for 81,Short desc for knowledge 81,Sub_Code_6,Resolution_1,Hardware,Issue_1,Cause_6,785fbc43-8646-4e79-9676-a70f48a7aea4
Name_82,7666,CI_82,Staging,Asia,Network,Software,Backup,Manufacturer_7,Medium,Operational,Healthcare,Support_Group_1,Support_Group_5,Support_Group_2,Description of CI 82,KN_254,Qmhog,Domain_1,Author_82,Source_5,Parent_4,Japanese,2,0.56,Published,TRUE,31-12-2023,Description for article 82,Meta description for 82,Short desc for knowledge 82,Sub_Code_1,Resolution_3,Software,Issue_7,Cause_5,d07a52b9-9097-439e-bdc4-30243190e089
Name_83,9602,CI_83,Development,Australia,Storage,Software,Storage,Manufacturer_8,Critical,Operational,Healthcare,Support_Group_4,Support_Group_2,Support_Group_5,Description of CI 83,KN_162,aNAwl,Domain_4,Author_83,Source_5,Parent_4,German,3,0.95,Review,FALSE,31-12-2024,Description for article 83,Meta description for 83,Short desc for knowledge 83,Sub_Code_5,Resolution_2,Service,Issue_9,Cause_5,8715f797-172b-4ddc-b30f-ba8ec498d3dc
Name_84,2351,CI_84,Production,Asia,Server,Service,Compute,Manufacturer_9,Low,Under Maintenance,Manufacturing,Support_Group_5,Support_Group_2,Support_Group_3,Description of CI 84,KN_260,Eafls,Domain_2,Author_84,Source_3,Parent_5,English,4,0.77,Review,FALSE,31-12-2024,Description for article 84,Meta description for 84,Short desc for knowledge 84,Sub_Code_6,Resolution_2,Software,Issue_2,Cause_1,757b9123-7af6-493e-bd3b-00cdfd4d3185
Name_85,6501,CI_85,Production,Asia,Application,Software,Compute,Manufacturer_8,Low,Operational,Finance,Support_Group_5,Support_Group_2,Support_Group_2,Description of CI 85,KN_215,BENHu,Domain_5,Author_85,Source_4,Parent_5,English,3,0.73,Archived,FALSE,31-12-2025,Description for article 85,Meta description for 85,Short desc for knowledge 85,Sub_Code_1,Resolution_6,Software,Issue_10,Cause_5,00948fef-5d03-4732-94e6-82cc3a6e35ea
Name_86,6314,CI_86,Development,Asia,Storage,Hardware,Security,Manufacturer_2,Critical,Operational,Healthcare,Support_Group_1,Support_Group_1,Support_Group_2,Description of CI 86,KN_755,cczuM,Domain_2,Author_86,Source_4,Parent_5,Japanese,4,0.96,Archived,TRUE,31-12-2024,Description for article 86,Meta description for 86,Short desc for knowledge 86,Sub_Code_1,Resolution_8,Software,Issue_8,Cause_7,30d91398-6eb6-474e-af74-3a13eb7c339b
Name_87,2844,CI_87,Staging,Australia,Database,Hardware,Compute,Manufacturer_5,Critical,Decommissioned,Retail,Support_Group_1,Support_Group_1,Support_Group_2,Description of CI 87,KN_281,pKgny,Domain_4,Author_87,Source_5,Parent_1,French,3,0.87,Published,TRUE,31-12-2023,Description for article 87,Meta description for 87,Short desc for knowledge 87,Sub_Code_2,Resolution_4,Hardware,Issue_5,Cause_7,d6328d8f-7803-4b8a-840b-88ec263c3fde
Name_88,4042,CI_88,Production,North America,Database,Service,Security,Manufacturer_3,Critical,Under Maintenance,Technology,Support_Group_1,Support_Group_2,Support_Group_5,Description of CI 88,KN_951,FZYCN,Domain_4,Author_88,Source_3,Parent_4,Japanese,2,0.61,Archived,FALSE,31-12-2024,Description for article 88,Meta description for 88,Short desc for knowledge 88,Sub_Code_10,Resolution_7,Hardware,Issue_1,Cause_7,cb88918e-f394-4956-897f-492b4ebe2fdb
Name_89,1093,CI_89,Development,Europe,Storage,Hardware,Networking,Manufacturer_3,Medium,Decommissioned,Manufacturing,Support_Group_1,Support_Group_1,Support_Group_3,Description of CI 89,KN_589,gJqrz,Domain_1,Author_89,Source_4,Parent_4,English,4,0.81,Published,FALSE,31-12-2024,Description for article 89,Meta description for 89,Short desc for knowledge 89,Sub_Code_4,Resolution_3,Hardware,Issue_7,Cause_5,04f7eb20-c4c1-4e10-b106-29ce4b44f3d1
Name_90,9154,CI_90,Production,North America,Storage,Service,Networking,Manufacturer_9,Low,Under Maintenance,Healthcare,Support_Group_4,Support_Group_3,Support_Group_4,Description of CI 90,KN_871,Cbhzo,Domain_1,Author_90,Source_3,Parent_5,French,4,0.77,Published,TRUE,31-12-2023,Description for article 90,Meta description for 90,Short desc for knowledge 90,Sub_Code_3,Resolution_8,Software,Issue_7,Cause_1,e8810c27-9732-43f1-bfae-ddcb99492551
Name_91,7820,CI_91,Production,Australia,Storage,Service,Compute,Manufacturer_7,Critical,Under Maintenance,Retail,Support_Group_2,Support_Group_1,Support_Group_5,Description of CI 91,KN_729,oOVaD,Domain_3,Author_91,Source_1,Parent_2,French,2,0.53,Published,TRUE,31-12-2024,Description for article 91,Meta description for 91,Short desc for knowledge 91,Sub_Code_7,Resolution_6,Hardware,Issue_4,Cause_4,3cf74d53-59e9-4e2f-adf5-e90368703a12
Name_92,3242,CI_92,Development,Australia,Storage,Service,Security,Manufacturer_4,Critical,Under Maintenance,Technology,Support_Group_2,Support_Group_4,Support_Group_2,Description of CI 92,KN_141,DtaRN,Domain_1,Author_92,Source_4,Parent_2,English,1,0.65,Archived,FALSE,31-12-2023,Description for article 92,Meta description for 92,Short desc for knowledge 92,Sub_Code_8,Resolution_7,Service,Issue_7,Cause_6,efd97501-40bd-44c4-8527-e3480a85bf58
Name_93,9038,CI_93,Production,North America,Database,Service,Backup,Manufacturer_3,Medium,Under Maintenance,Retail,Support_Group_4,Support_Group_5,Support_Group_4,Description of CI 93,KN_894,SSWUq,Domain_4,Author_93,Source_3,Parent_1,Japanese,5,0.84,Archived,FALSE,31-12-2025,Description for article 93,Meta description for 93,Short desc for knowledge 93,Sub_Code_6,Resolution_8,Service,Issue_3,Cause_4,4e8ba5f9-cd97-430c-a60f-1d2b105e1279
Name_94,9215,CI_94,Staging,Australia,Database,Hardware,Backup,Manufacturer_9,High,Under Maintenance,Retail,Support_Group_1,Support_Group_2,Support_Group_3,Description of CI 94,KN_122,ExAhZ,Domain_5,Author_94,Source_3,Parent_2,Japanese,4,0.86,Published,TRUE,31-12-2025,Description for article 94,Meta description for 94,Short desc for knowledge 94,Sub_Code_3,Resolution_6,Service,Issue_3,Cause_10,cc3a028c-991a-49f3-9504-b63b9576026f
Name_95,4640,CI_95,Production,Australia,Server,Hardware,Security,Manufacturer_10,Low,Operational,Technology,Support_Group_4,Support_Group_2,Support_Group_1,Description of CI 95,KN_451,DgBae,Domain_5,Author_95,Source_2,Parent_3,English,2,0.78,Draft,TRUE,31-12-2024,Description for article 95,Meta description for 95,Short desc for knowledge 95,Sub_Code_5,Resolution_8,Software,Issue_7,Cause_6,7602187a-dd40-4377-a6be-63befcdc009c
Name_96,8666,CI_96,Production,North America,Network,Software,Storage,Manufacturer_2,Critical,Operational,Finance,Support_Group_2,Support_Group_2,Support_Group_4,Description of CI 96,KN_847,yemMf,Domain_2,Author_96,Source_1,Parent_1,English,1,0.66,Archived,TRUE,31-12-2024,Description for article 96,Meta description for 96,Short desc for knowledge 96,Sub_Code_9,Resolution_7,Service,Issue_9,Cause_9,782b69bc-ec3f-46e4-82d9-ea1506e0e866
Name_97,9562,CI_97,Staging,North America,Application,Hardware,Security,Manufacturer_9,Critical,Under Maintenance,Manufacturing,Support_Group_3,Support_Group_2,Support_Group_4,Description of CI 97,KN_297,BhZtt,Domain_1,Author_97,Source_1,Parent_5,French,3,0.7,Archived,FALSE,31-12-2023,Description for article 97,Meta description for 97,Short desc for knowledge 97,Sub_Code_2,Resolution_7,Hardware,Issue_4,Cause_3,3b942f80-f1cd-4c97-8449-7cd6cd27dc49
Name_98,6521,CI_98,Production,Asia,Network,Service,Storage,Manufacturer_2,High,Under Maintenance,Retail,Support_Group_4,Support_Group_4,Support_Group_4,Description of CI 98,KN_977,BTaYf,Domain_1,Author_98,Source_3,Parent_3,German,4,0.95,Archived,TRUE,31-12-2025,Description for article 98,Meta description for 98,Short desc for knowledge 98,Sub_Code_7,Resolution_6,Service,Issue_1,Cause_9,47ea419b-6201-4e86-9d33-8656d6063e3b
Name_99,7357,CI_99,Staging,Australia,Storage,Software,Backup,Manufacturer_4,High,Under Maintenance,Retail,Support_Group_1,Support_Group_5,Support_Group_1,Description of CI 99,KN_485,Azbxj,Domain_2,Author_99,Source_2,Parent_1,English,3,0.53,Draft,TRUE,31-12-2024,Description for article 99,Meta description for 99,Short desc for knowledge 99,Sub_Code_2,Resolution_7,Service,Issue_10,Cause_10,09c8d5da-a427-4524-a7fb-215efda1653b
Name_100,9499,CI_100,Production,North America,Server,Service,Security,Manufacturer_3,High,Under Maintenance,Healthcare,Support_Group_4,Support_Group_1,Support_Group_2,Description of CI 100,KN_292,hUiKa,Domain_3,Author_100,Source_4,Parent_1,German,4,0.61,Published,FALSE,31-12-2023,Description for article 100,Meta description for 100,Short desc for knowledge 100,Sub_Code_5,Resolution_10,Hardware,Issue_8,Cause_4,deb840eb-5c1c-409f-85b7-ec29a4765433
